backward_packet_length_max,backward_packet_length_mean,bpkts_per_second,flow_packets_per_second,backward_packet_length_min,,,,,,,,,,,,,,,,,,,,
backward_packet_length_max,backward_packet_length_mean,flow_ack,bpkts_per_second,flow_packets_per_second,backward_packet_length_min,,,,,,,,,,,,,,,,,,,
backward_packet_length_max,flow_iat_max,backward_packet_length_mean,flow_ack,bpkts_per_second,flow_packets_per_second,backward_packet_length_min,,,,,,,,,,,,,,,,,,
backward_packet_length_max,backward_packet_length_mean,flow_packets_per_second,backward_packet_length_min,flow_iat_max,flow_ack,bpkts_per_second,flow_iat_min,,,,,,,,,,,,,,,,,
backward_packet_length_max,backward_packet_length_mean,flow_packets_per_second,backward_packet_length_min,flow_iat_max,flow_ack,bpkts_per_second,flow_iat_total,flow_iat_min,,,,,,,,,,,,,,,,
backward_packet_length_max,backward_packet_length_mean,flow_protocol,flow_packets_per_second,backward_packet_length_min,flow_iat_max,flow_ack,bpkts_per_second,flow_iat_total,flow_iat_min,,,,,,,,,,,,,,,
backward_packet_length_max,backward_packet_length_mean,flow_protocol,flow_psh,flow_packets_per_second,backward_packet_length_min,flow_iat_max,flow_ack,bpkts_per_second,flow_iat_total,flow_iat_min,,,,,,,,,,,,,,
backward_packet_length_max,backward_packet_length_mean,flow_protocol,flow_psh,flow_packets_per_second,forward_iat_max,backward_packet_length_min,flow_iat_max,flow_ack,bpkts_per_second,flow_iat_total,flow_iat_min,,,,,,,,,,,,,
backward_packet_length_max,backward_packet_length_mean,flow_protocol,flow_psh,flow_packets_per_second,forward_iat_max,backward_packet_length_min,flow_iat_max,flow_ack,bpkts_per_second,forward_iat_min,flow_iat_total,flow_iat_min,,,,,,,,,,,,
backward_packet_length_max,backward_packet_length_mean,flow_protocol,flow_psh,flow_packets_per_second,forward_iat_max,backward_packet_length_min,forward_iat_total,flow_iat_max,flow_ack,bpkts_per_second,forward_iat_min,flow_iat_total,flow_iat_min,,,,,,,,,,,
backward_packet_length_max,backward_packet_length_mean,flow_protocol,flow_psh,flow_packets_per_second,forward_iat_max,backward_packet_length_min,forward_iat_total,flow_iat_max,forward_packet_length_max,flow_ack,bpkts_per_second,forward_iat_min,flow_iat_total,flow_iat_min,,,,,,,,,,
flow_protocol,flow_psh,flow_packets_per_second,forward_iat_max,backward_packet_length_min,flow_ack,bpkts_per_second,forward_packet_length_max,flow_iat_min,backward_packet_length_max,backward_packet_length_mean,forward_packet_length_mean,flow_iat_max,forward_iat_min,flow_iat_total,forward_iat_total,,,,,,,,,
flow_protocol,flow_psh,flow_packets_per_second,forward_iat_max,backward_packet_length_min,forward_packet_length_min,flow_ack,bpkts_per_second,forward_packet_length_max,flow_iat_min,backward_packet_length_max,backward_packet_length_mean,forward_packet_length_mean,flow_iat_max,forward_iat_min,flow_iat_total,forward_iat_total,,,,,,,,
forward_packet_length_std,flow_protocol,flow_psh,flow_packets_per_second,forward_iat_max,backward_packet_length_min,forward_packet_length_min,flow_ack,bpkts_per_second,forward_packet_length_max,flow_iat_min,backward_packet_length_max,backward_packet_length_mean,forward_packet_length_mean,flow_iat_max,forward_iat_min,flow_iat_total,forward_iat_total,,,,,,,
forward_packet_length_std,flow_protocol,flow_psh,flow_packets_per_second,flow_iat_total,forward_iat_max,backward_packet_length_min,forward_packet_length_min,flow_ack,bpkts_per_second,forward_packet_length_max,flow_iat_min,backward_packet_length_max,backward_packet_length_mean,forward_packet_length_mean,flow_iat_max,forward_iat_min,fpkts_per_second,forward_iat_total,,,,,,
forward_packet_length_std,flow_protocol,flow_psh,flow_packets_per_second,flow_iat_total,forward_iat_max,backward_packet_length_min,forward_packet_length_min,flow_ack,bpkts_per_second,forward_packet_length_max,flow_iat_min,backward_packet_length_max,backward_packet_length_mean,forward_packet_length_mean,flow_iat_max,total_backward_packets,forward_iat_min,fpkts_per_second,forward_iat_total,,,,,
forward_packet_length_std,flow_protocol,flow_psh,flow_packets_per_second,flow_iat_total,forward_iat_max,backward_packet_length_min,forward_packet_length_min,flow_ack,bpkts_per_second,forward_packet_length_max,flow_iat_min,backward_packet_length_max,backward_packet_length_mean,forward_packet_length_mean,total_bhlen,flow_iat_max,total_backward_packets,forward_iat_min,fpkts_per_second,forward_iat_total,,,,
forward_packet_length_std,flow_protocol,flow_psh,flow_packets_per_second,flow_iat_total,forward_iat_max,backward_packet_length_min,forward_packet_length_min,flow_ack,bpkts_per_second,forward_packet_length_max,total_fhlen,flow_iat_min,backward_packet_length_max,backward_packet_length_mean,forward_packet_length_mean,total_bhlen,flow_iat_max,total_backward_packets,forward_iat_min,fpkts_per_second,forward_iat_total,,,
forward_packet_length_std,flow_protocol,flow_psh,flow_packets_per_second,flow_iat_total,forward_iat_max,backward_packet_length_min,forward_packet_length_min,flow_ack,bpkts_per_second,forward_packet_length_max,total_fhlen,flow_iat_min,backward_packet_length_max,forward_iat_total,backward_packet_length_mean,forward_packet_length_mean,total_bhlen,flow_iat_max,total_backward_packets,forward_iat_min,fpkts_per_second,total_forward_packets,,
forward_packet_length_std,flow_protocol,flow_psh,total_length_of_backward_packets,flow_packets_per_second,flow_iat_total,forward_iat_max,backward_packet_length_min,forward_packet_length_min,flow_ack,bpkts_per_second,forward_packet_length_max,total_fhlen,flow_iat_min,backward_packet_length_max,forward_iat_total,backward_packet_length_mean,forward_packet_length_mean,total_bhlen,flow_iat_max,total_backward_packets,forward_iat_min,fpkts_per_second,total_forward_packets,
forward_packet_length_std,flow_protocol,flow_psh,total_length_of_backward_packets,flow_packets_per_second,flow_iat_total,forward_iat_max,backward_packet_length_min,forward_packet_length_min,flow_ack,bpkts_per_second,forward_packet_length_max,total_fhlen,flow_iat_min,backward_packet_length_max,forward_iat_total,backward_packet_length_mean,forward_packet_length_mean,total_bhlen,total_length_of_forward_packets,flow_iat_max,total_backward_packets,forward_iat_min,fpkts_per_second,total_forward_packets
flow_rst,,,,,,,,,,,,,,,,,,,,,,,,
flow_syn,,,,,,,,,,,,,,,,,,,,,,,,
flow_urg,,,,,,,,,,,,,,,,,,,,,,,,
